country,native_language,model_name,cultural_region,is_islamic,d_native,d_english,english_advantage_pct
Algeria,ar,claude-3-7-sonnet-20250219,African-Islamic,True,0.956710285514905,1.0183758573475377,-6.445584704824619
Algeria,ar,claude-sonnet-4.5,African-Islamic,True,1.4489166235821767,1.2390525429391555,14.484206836151229
Algeria,ar,deepseek-chat,African-Islamic,True,1.706618005676136,1.2101135295590397,29.092888652630194
Algeria,ar,deepseek-chat-v3.1,African-Islamic,True,1.706618005676136,1.4489166235821767,15.100120896231958
Algeria,ar,doubao-1-5-pro-32k-250115,African-Islamic,True,1.9487538295109352,1.7194083171490193,11.768829335384712
Algeria,ar,gemini-2.5-flash,African-Islamic,True,1.4489166235821767,1.706618005676136,-17.78579787819955
Algeria,ar,gemini-2.5-pro,African-Islamic,True,1.4489166235821767,1.9903744090602253,-37.36983734366958
Algeria,ar,gemini-3-pro-preview,African-Islamic,True,1.706618005676136,1.4489166235821767,15.100120896231958
Algeria,ar,gemma-3-4b-it,African-Islamic,True,2.392322607781737,2.389715287786714,0.10898697301702089
Algeria,ar,gpt-4o,African-Islamic,True,0.6161113418993921,1.0004394944760937,-62.37965874672381
Algeria,ar,gpt-4o-mini,African-Islamic,True,0.8816837481033408,1.236710708453925,-40.26692803562622
Algeria,ar,gpt-5.1,African-Islamic,True,1.2390525429391555,1.4489166235821767,-16.937464180913814
Algeria,ar,grok-4.1-fast,African-Islamic,True,2.212412500136927,3.086262861991494,-39.49762360321522
Algeria,ar,kimi-k2,African-Islamic,True,0.7876882861861613,0.8109664480645089,-2.95525048252985
Algeria,ar,llama-3.2-3b-instruct,African-Islamic,True,5.284173344956664,3.5397861123796623,33.01154444984067
Algeria,ar,llama-3.3-70b-instruct,African-Islamic,True,1.4489166235821767,1.236710708453925,14.64583342301726
Algeria,ar,mistral-medium-3.1,African-Islamic,True,1.1959894211789168,1.2101135295590397,-1.180955962486726
Algeria,ar,mistral-nemo,African-Islamic,True,3.995875178573938,2.007715097618963,49.75530996602643
Algeria,ar,phi-3-mini-128k-instruct,African-Islamic,True,4.735034879469174,3.244327731421297,31.482495609725987
Algeria,ar,qwen3-max,African-Islamic,True,1.2101135295590397,1.2241335326832785,-1.1585692401396106
Algeria,fr,claude-3-7-sonnet-20250219,African-Islamic,True,1.6248811174947992,1.0183758573475377,37.32613134691085
Algeria,fr,claude-sonnet-4.5,African-Islamic,True,1.5060516252562859,1.2390525429391555,17.72841500514267
Algeria,fr,deepseek-chat,African-Islamic,True,1.1959894211789168,1.2101135295590397,-1.180955962486726
Algeria,fr,deepseek-chat-v3.1,African-Islamic,True,3.086262861991494,1.4489166235821767,53.05271493798735
Algeria,fr,doubao-1-5-pro-32k-250115,African-Islamic,True,1.7194083171490193,1.7194083171490193,0.0
Algeria,fr,gemini-2.5-flash,African-Islamic,True,1.97405942071944,1.706618005676136,13.54778950604414
Algeria,fr,gemini-2.5-pro,African-Islamic,True,1.0166415421028094,1.9903744090602253,-95.77937027276676
Algeria,fr,gemini-3-pro-preview,African-Islamic,True,1.9903744090602253,1.4489166235821767,27.203815674745503
Algeria,fr,gemma-3-4b-it,African-Islamic,True,4.963787181425789,2.389715287786714,51.85701561241599
Algeria,fr,gpt-4o,African-Islamic,True,1.7507127750067004,1.0004394944760937,42.85530392201172
Algeria,fr,gpt-4o-mini,African-Islamic,True,0.24137792621652326,1.236710708453925,-412.35451718338084
Algeria,fr,gpt-5.1,African-Islamic,True,1.4489166235821767,1.4489166235821767,0.0
Algeria,fr,grok-4.1-fast,African-Islamic,True,2.80502808608164,3.086262861991494,-10.026094829685366
Algeria,fr,kimi-k2,African-Islamic,True,1.2241335326832785,0.8109664480645089,33.751798605918005
Algeria,fr,llama-3.2-3b-instruct,African-Islamic,True,3.7241792258043067,3.5397861123796623,4.9512416627806415
Algeria,fr,llama-3.3-70b-instruct,African-Islamic,True,1.236710708453925,1.236710708453925,0.0
Algeria,fr,mistral-medium-3.1,African-Islamic,True,2.1862544860597652,1.2101135295590397,44.64900873731316
Algeria,fr,mistral-nemo,African-Islamic,True,2.331596155794697,2.007715097618963,13.890958662407945
Algeria,fr,qwen3-max,African-Islamic,True,2.635245731931856,1.2241335326832785,53.54765144479008
Argentina,es,claude-3-7-sonnet-20250219,Latin America,False,0.7762934223812816,1.7328067072407078,-123.21543082579778
Argentina,es,claude-sonnet-4.5,Latin America,False,1.8887136487876306,3.0425012398045794,-61.088539904265936
Argentina,es,deepseek-chat,Latin America,False,1.4572564496300016,0.5670399055895219,61.0885300433226
Argentina,es,deepseek-chat-v3.1,Latin America,False,3.1235212102315635,0.1970842322520871,93.69031874646767
Argentina,es,doubao-1-5-pro-32k-250115,Latin America,False,0.44614881320702543,1.7142731734270062,-284.23797680966504
Argentina,es,gemini-2.5-flash,Latin America,False,1.7982250915117406,2.3921176156888877,-33.026595334506794
Argentina,es,gemini-2.5-pro,Latin America,False,4.729009648936834,3.9773405521408796,15.894852254423771
Argentina,es,gemini-3-pro-preview,Latin America,False,1.585383051198188,1.1747365748061391,25.90203522623089
Argentina,es,gemma-3-4b-it,Latin America,False,2.4740510099558697,2.8798871258477394,-16.403708503128588
Argentina,es,gpt-4o,Latin America,False,2.1140076785253363,0.9654686400920953,54.32993692976673
Argentina,es,gpt-4o-mini,Latin America,False,2.8811214236670244,4.638573449304732,-60.9988878358644
Argentina,es,gpt-5.1,Latin America,False,1.991673356071385,3.7226136726292762,-86.9088453325602
Argentina,es,grok-4.1-fast,Latin America,False,2.3371839264320537,2.7514803965938874,-17.726310089522947
Argentina,es,kimi-k2,Latin America,False,3.926468716067688,2.6257330282068994,33.127366647236656
Argentina,es,llama-3.2-3b-instruct,Latin America,False,2.443957567720436,2.860395842108303,-17.03950509976707
Argentina,es,llama-3.3-70b-instruct,Latin America,False,1.3609245910477996,0.7821081286054848,42.531119376472866
Argentina,es,mistral-medium-3.1,Latin America,False,3.4156824719039536,3.37219000379729,1.2733170739498034
Argentina,es,mistral-nemo,Latin America,False,3.223835356151007,3.810741064131095,-18.205201046023785
Argentina,es,phi-3-mini-128k-instruct,Latin America,False,3.3839638501397564,3.0242439606996405,10.630133930811926
Argentina,es,qwen3-max,Latin America,False,1.6428151938940745,2.0264641866961774,-23.353143690661526
Austria,de,claude-3-7-sonnet-20250219,Catholic Europe,False,1.7048367495175454,2.682835474369492,-57.36612171979001
Austria,de,claude-sonnet-4.5,Catholic Europe,False,2.0646445399093656,2.325051652839451,-12.612685035919888
Austria,de,deepseek-chat,Catholic Europe,False,1.4216679519929685,1.7697159449324023,-24.481665528967007
Austria,de,deepseek-chat-v3.1,Catholic Europe,False,1.1957128539315538,2.3698636047046526,-98.19671561716862
