country,cultural_region,model_name,d_ar,d_fr,d_en,fr_advantage_pct,en_advantage_pct,has_fr,has_en
Algeria,African-Islamic,anthropic/claude-3.7-sonnet,1.5842448357557466,,1.345207282810306,,15.088422417448516,False,True
Algeria,African-Islamic,anthropic/claude-sonnet-4.5,1.8034584872897028,,1.1189757763945485,,37.953893350981296,False,True
Algeria,African-Islamic,deepseek/deepseek-chat-v3-0324,1.3762004460265171,,0.902424348752242,,34.426387423590924,False,True
Algeria,African-Islamic,google/gemini-2.0-flash-001,1.33261729887498,,1.2960388537818337,,2.7448574413694415,False,True
Algeria,African-Islamic,google/gemini-2.5-flash,2.237997794174865,,1.8034584872897028,,19.416431419914513,False,True
Algeria,African-Islamic,meta-llama/llama-3.3-70b-instruct,1.33261729887498,,1.717230295441011,,-28.861474099933144,False,True
Algeria,African-Islamic,mistralai/mistral-nemo,1.7784164058424283,,2.0845332324881456,,-17.212888142510753,False,True
Algeria,African-Islamic,openai/gpt-4o-mini,2.1290840885088667,,0.957512337920394,,55.02703049220564,False,True
Algeria,African-Islamic,qwen/qwq-32b,1.381988704181229,,1.8034584872897028,,-30.49733922088582,False,True
Algeria,African-Islamic,x-ai/grok-code-fast-1,1.717230295441011,,1.2702914358654054,,26.02672808429721,False,True
Egypt,African-Islamic,anthropic/claude-3.7-sonnet,1.5300690348768649,,1.7384764837594666,,-13.620787306461224,False,True
Egypt,African-Islamic,anthropic/claude-sonnet-4.5,2.3243142401081385,,1.4070451013576095,,39.464076023896546,False,True
Egypt,African-Islamic,deepseek/deepseek-chat-v3-0324,1.5894554054410006,,2.4441779378728654,,-53.77455256095837,False,True
Egypt,African-Islamic,google/gemini-2.0-flash-001,1.7384764837594666,,1.7384764837594666,,0.0,False,True
Egypt,African-Islamic,google/gemini-2.5-flash,2.331670544455643,,2.331670544455643,,0.0,False,True
Egypt,African-Islamic,meta-llama/llama-3.3-70b-instruct,1.5300690348768649,,1.9319690556260567,,-26.26679003287819,False,True
Egypt,African-Islamic,mistralai/mistral-nemo,2.559620411719269,,3.164702153986824,,-23.639510745311174,False,True
Egypt,African-Islamic,openai/gpt-4o-mini,2.6243025012190406,,1.4771067172515489,,43.71431202899043,False,True
Egypt,African-Islamic,qwen/qwq-32b,1.867713360646383,,1.867713360646383,,0.0,False,True
Egypt,African-Islamic,x-ai/grok-code-fast-1,1.8046549636152347,,1.7418642168987102,,3.4793768328288572,False,True
Iraq,African-Islamic,anthropic/claude-3.7-sonnet,1.883211503504865,,2.467886690206925,,-31.04670854091081,False,True
Iraq,African-Islamic,anthropic/claude-sonnet-4.5,0.9073483600480228,,2.467886690206925,,-171.98888529167655,False,True
Iraq,African-Islamic,deepseek/deepseek-chat-v3-0324,1.395347050384537,,0.9574677115305092,,31.381392803557706,False,True
Iraq,African-Islamic,google/gemini-2.0-flash-001,1.5796246509306802,,1.1274830188259668,,28.623358836437596,False,True
Iraq,African-Islamic,google/gemini-2.5-flash,1.3992168568280643,,2.611352425697916,,-86.62957160319567,False,True
Iraq,African-Islamic,meta-llama/llama-3.3-70b-instruct,1.3439016437626072,,1.0624242865353914,,20.944788521810693,False,True
Iraq,African-Islamic,mistralai/mistral-nemo,1.7564239716924177,,0.796129057360278,,54.6732981221407,False,True
Iraq,African-Islamic,openai/gpt-4o-mini,2.3338042554447034,,0.3209332621456239,,86.24849271754924,False,True
Iraq,African-Islamic,qwen/qwq-32b,2.467886690206925,,4.0687785469482485,,-64.86893677469014,False,True
Iraq,African-Islamic,x-ai/grok-code-fast-1,2.4172588424709844,,2.2577022140480443,,6.600725814693359,False,True
Jordan,African-Islamic,anthropic/claude-3.7-sonnet,0.2753933968788418,,0.0463542033410301,,83.16800480099258,False,True
Jordan,African-Islamic,anthropic/claude-sonnet-4.5,1.8315922837351792,,0.1121158959627862,,93.8787743889078,False,True
