country,cultural_region,native_lang,model_name,d_english,d_native,advantage_pct,both_present
China,Confucian,zh-cn,meta-llama/llama-3.3-70b-instruct,0.8923492009156968,0.9044782558617518,1.3410001697054499,True
China,Confucian,zh-cn,mistralai/mistral-nemo,2.993092511322852,4.032768340665846,25.780698059421237,True
China,Confucian,zh-cn,anthropic/claude-sonnet-4.5,0.724020257278141,0.724020257278141,0.0,True
China,Confucian,zh-cn,qwen/qwq-32b,1.0696878568978625,1.3875184664267777,22.90640573219987,True
China,Confucian,zh-cn,deepseek/deepseek-chat-v3-0324,0.724020257278141,0.5481569819736117,-32.08264805299795,True
China,Confucian,zh-cn,x-ai/grok-code-fast-1,1.2311994978888428,0.3614358637405938,-240.6412095210583,True
China,Confucian,zh-cn,openai/gpt-4o-mini,1.8642569564958,2.643132737120843,29.467902602329016,True
China,Confucian,zh-cn,anthropic/claude-3.7-sonnet,0.7710439773428929,0.6690058220102205,-15.252207376322877,True
China,Confucian,zh-cn,google/gemini-2.5-flash,0.5975823879146244,1.951499159676232,69.37829130227412,True
China,Confucian,zh-cn,google/gemini-2.0-flash-001,1.2482675493493829,1.2915633817784171,3.352203464410556,True
"Taiwan, Province of China",Confucian,zh-tw,meta-llama/llama-3.3-70b-instruct,1.7618648485250108,2.245341654653435,21.532438287350438,True
"Taiwan, Province of China",Confucian,zh-tw,mistralai/mistral-nemo,3.030524536490112,5.494531458594249,44.844714070206486,True
"Taiwan, Province of China",Confucian,zh-tw,anthropic/claude-sonnet-4.5,2.1859666174823222,3.647081376480641,40.0625762951378,True
"Taiwan, Province of China",Confucian,zh-tw,qwen/qwq-32b,2.829549913006014,3.2932090116286408,14.079249054202192,True
"Taiwan, Province of China",Confucian,zh-tw,deepseek/deepseek-chat-v3-0324,1.0797186228124105,1.5952556064333614,32.31688900147967,True
"Taiwan, Province of China",Confucian,zh-tw,x-ai/grok-code-fast-1,5.058101803448309,5.106868123255488,0.9549163720345184,True
"Taiwan, Province of China",Confucian,zh-tw,openai/gpt-4o-mini,3.2952494344611827,3.70713876694591,11.110707162010508,True
"Taiwan, Province of China",Confucian,zh-tw,anthropic/claude-3.7-sonnet,2.650191056685894,2.435742968659641,-8.80421665116256,True
"Taiwan, Province of China",Confucian,zh-tw,google/gemini-2.5-flash,3.5345293637198916,3.5450101232938573,0.2956482269288286,True
"Taiwan, Province of China",Confucian,zh-tw,google/gemini-2.0-flash-001,2.320641907752558,1.7651920279645514,-31.466824628054646,True
Macao,Confucian,zh-hk,meta-llama/llama-3.3-70b-instruct,2.321365698192133,1.2856751564907545,-80.55616043233597,True
Macao,Confucian,zh-hk,mistralai/mistral-nemo,3.460441699321878,4.825642887039913,28.290555676726836,True
Macao,Confucian,zh-hk,anthropic/claude-sonnet-4.5,0.7151213632550593,1.5746180140197152,54.584454331912305,True
Macao,Confucian,zh-hk,qwen/qwq-32b,1.980795525483348,0.3228868646610726,-513.4642632683577,True
Macao,Confucian,zh-hk,deepseek/deepseek-chat-v3-0324,0.7151213632550593,1.3987826609339948,48.87544840042851,True
Macao,Confucian,zh-hk,x-ai/grok-code-fast-1,1.8143963807052983,2.8139983519072396,35.52247891419135,True
