country,native_language,is_multilingual,model,cultural_region,is_islamic,native_distance,english_distance,english_advantage
Algeria,ar,False,claude-3-7-sonnet-20250219,African-Islamic,True,0.9567102855149433,1.0183758573475934,-6.445584704826183
Algeria,ar,False,claude-sonnet-4.5,African-Islamic,True,1.4489166235822055,1.2390525429392043,14.48420683614956
Algeria,ar,False,deepseek-chat,African-Islamic,True,1.706618005676164,1.2101135295590755,29.092888652629263
Algeria,ar,False,deepseek-chat-v3.1,African-Islamic,True,1.706618005676164,1.4489166235822055,15.100120896231658
Algeria,ar,False,doubao-1-5-pro-32k-250115,African-Islamic,True,1.9487538295109779,1.719408317149047,11.768829335385217
Algeria,ar,False,gemini-2.5-flash,African-Islamic,True,1.4489166235822055,1.706618005676164,-17.785797878199133
Algeria,ar,False,gemini-2.5-pro,African-Islamic,True,1.4489166235822055,1.9903744090602542,-37.36983734366884
Algeria,ar,False,gemini-3-pro-preview,African-Islamic,True,1.706618005676164,1.4489166235822055,15.100120896231658
Algeria,ar,False,gemma-3-4b-it,African-Islamic,True,2.3923226077817192,2.389715287786743,0.10898697301505399
Algeria,ar,False,gpt-4o,African-Islamic,True,0.6161113418994416,1.0004394944761446,-62.37965874671902
Algeria,ar,False,gpt-4o-mini,African-Islamic,True,0.8816837481033615,1.2367107084538045,-40.26692803560926
Algeria,ar,False,gpt-5.1,African-Islamic,True,1.2390525429392043,1.4489166235822055,-16.937464180911533
Algeria,ar,False,grok-4.1-fast,African-Islamic,True,2.2124125001369515,3.086262861991549,-39.49762360321616
Algeria,ar,False,kimi-k2,African-Islamic,True,0.7876882861862204,0.8109664480645916,-2.955250482532616
Algeria,ar,False,llama-3.2-3b-instruct,African-Islamic,True,5.284173344956689,3.5397861123796464,33.01154444984129
Algeria,ar,False,llama-3.3-70b-instruct,African-Islamic,True,1.4489166235822055,1.2367107084538045,14.64583342302728
Algeria,ar,False,mistral-medium-3.1,African-Islamic,True,1.1959894211789477,1.2101135295590755,-1.1809559624871042
Algeria,ar,False,mistral-nemo,African-Islamic,True,3.995875178574007,2.0077150976189992,49.75530996602639
Algeria,ar,False,phi-3-mini-128k-instruct,African-Islamic,True,4.735034879469101,3.2443277314213286,31.482495609724264
Algeria,ar,False,qwen3-max,African-Islamic,True,1.2101135295590755,1.2241335326833143,-1.1585692401395764
Argentina,es,False,claude-3-7-sonnet-20250219,Latin America,False,0.7762934223812519,1.7328067072407056,-123.21543082580604
Argentina,es,False,claude-sonnet-4.5,Latin America,False,1.8887136487876353,3.0425012398046447,-61.08853990426899
Argentina,es,False,deepseek-chat,Latin America,False,1.4572564496298732,0.5670399055895696,61.08853004331589
Argentina,es,False,deepseek-chat-v3.1,Latin America,False,3.12352121023151,0.19708423225198685,93.69031874647078
Argentina,es,False,doubao-1-5-pro-32k-250115,Latin America,False,0.4461488132069185,1.7142731734270154,-284.2379768097592
Argentina,es,False,gemini-2.5-flash,Latin America,False,1.7982250915116627,2.3921176156888824,-33.026595334512265
Argentina,es,False,gemini-2.5-pro,Latin America,False,4.7290096489369065,3.9773405521409004,15.894852254424627
Argentina,es,False,gemini-3-pro-preview,Latin America,False,1.585383051198088,1.17473657480606,25.902035226231206
Argentina,es,False,gemma-3-4b-it,Latin America,False,2.474051009955913,2.8798871258477385,-16.403708503126506
Argentina,es,False,gpt-4o,Latin America,False,2.1140076785252737,0.965468640091961,54.329936929771726
Argentina,es,False,gpt-4o-mini,Latin America,False,2.881121423666992,4.638573449304758,-60.9988878358671
Argentina,es,False,gpt-5.1,Latin America,False,1.991673356071301,3.722613672629296,-86.9088453325691
Argentina,es,False,grok-4.1-fast,Latin America,False,2.337183926432035,2.751480396593868,-17.726310089523047
Argentina,es,False,kimi-k2,Latin America,False,3.9264687160676925,2.625733028206894,33.12736664723687
Argentina,es,False,llama-3.2-3b-instruct,Latin America,False,2.4439575677205476,2.8603958421083764,-17.039505099764728
