country,real_PC1,real_PC2,llm_PC1,llm_PC2,bias_PC1,bias_PC2,pc1_direction,pc2_direction,mean_distance
Ireland,1.478989121,-0.6756696734,4.333233924708191,1.8470240887037097,2.854244803708191,2.5226937621037098,→更自我表达,↑更世俗,3.959541380531433
Australia,3.3721445203,0.7189674986,4.761874532282227,2.854778221058078,1.389730011982227,2.135810722458078,→更自我表达,↑更世俗,2.8310528072803214
New Zealand,3.4231011101,0.805576675,5.316890689372714,2.2280771498862153,1.8937895792727142,1.4225004748862153,→更自我表达,↑更世俗,2.632881841922972
Canada,3.146022511,0.9631136815,4.938137680811844,2.697019396053805,1.7921151698118436,1.733905714553805,→更自我表达,↑更世俗,2.6290533239589977
United Kingdom,3.1259015109,1.1141712012,3.5948957966748574,3.0209490908300447,0.46899428577485747,1.9067778896300447,中性,↑更世俗,2.351731533329075
South Africa,-0.0176905444,-0.8445139031,0.6608598200979262,0.8650405722371429,0.6785503644979262,1.7095544753371428,→更自我表达,↑更世俗,2.2466637097836353
Trinidad and Tobago,-0.5709646656,-2.1450367793,0.3799597773695928,-0.9523793625100273,0.9509244429695929,1.1926574167899724,→更自我表达,↑更世俗,2.0826867831091924
Puerto Rico,0.873943067,-1.5939890585,1.6358649632365885,-0.42727491208642343,0.7619218962365885,1.1667141464135766,→更自我表达,↑更世俗,2.07093256497509
Malta,-0.2817419412,-1.503431732,1.0997250781848595,-0.6474522996683327,1.3814670193848595,0.8559794323316672,→更自我表达,↑更世俗,1.9099422082412598
Kenya,-0.1760740085,-0.9395733394,-1.1372713906271588,-1.2300807935861346,-0.9611973821271588,-0.29050745418613466,←更生存,中性,1.8274757794648882
Zambia,-0.9866468608,-0.512282623,-1.2071600918791354,-1.1353568232632174,-0.22051323107913545,-0.6230742002632174,中性,↓更传统,1.8188314235863374
Pakistan,-0.7922105393,-1.5493253496,-1.5991748237319787,-1.295554934562674,-0.8069642844319788,0.2537704150373259,←更生存,中性,1.7038400800925366
Zimbabwe,-1.7217417889,-1.3100210716,-1.5326091865626552,-0.47743087518166927,0.18913260233734475,0.8325901964183308,中性,↑更世俗,1.6670129497944974
Malaysia,-0.5742040464,-0.8429698737,-0.8730039205015692,-0.5812438630122112,-0.29879987410156916,0.2617260106877888,中性,中性,1.5223969304664806
Philippines,-0.052852598,-1.7208171896,-0.22882772761455192,-1.1580216197677857,-0.17597512961455192,0.5627955698322142,中性,↑更世俗,1.4841280093522857
Nigeria,-1.1874510192,-1.5994031142,-1.527597364167533,-1.0350094466327577,-0.3401463449675328,0.5643936675672423,中性,↑更世俗,1.455706571469506
Ghana,-1.2028386135,-2.3556774584,-0.9467864575315502,-1.6087141541861065,0.25605215596844977,0.7469633042138937,中性,↑更世俗,1.4036767004551567
Rwanda,-1.1913142687,-1.6113103613,-1.2563000035803675,-1.5825214978915554,-0.06498573488036752,0.028788863408444554,中性,中性,1.2316695473184547
Singapore,0.3463254582,-0.0457447138,0.493679540522775,-0.07738145231634039,0.14735408232277503,-0.031636738516340385,中性,中性,0.9925935567004112
