country,model,french_distance,arabic_distance,french_advantage,cultural_region,is_islamic
Algeria,claude-3-7-sonnet-20250219,0.3865515799914096,0.9567102855149433,59.59575371520642,African-Islamic,True
Algeria,claude-sonnet-4.5,5.108167484519003,1.4489166235822055,-252.55082324129233,African-Islamic,True
Algeria,deepseek-chat,0.25926384595853186,1.706618005676164,84.80832587631049,African-Islamic,True
Algeria,deepseek-chat-v3.1,1.8476407178531062,1.706618005676164,-8.263285146875555,African-Islamic,True
Algeria,doubao-1-5-pro-32k-250115,1.7522945070450016,1.9487538295109779,10.081279610122742,African-Islamic,True
Algeria,gemini-2.5-flash,0.25926384595853186,1.4489166235822055,82.10636542235639,African-Islamic,True
Algeria,gemini-2.5-pro,0.25926384595853186,1.4489166235822055,82.10636542235639,African-Islamic,True
Algeria,gemini-3-pro-preview,1.9427610050884934,1.706618005676164,-13.836898393602103,African-Islamic,True
Algeria,gemma-3-4b-it,4.098204164997523,2.3923226077817192,-71.30650154234768,African-Islamic,True
Algeria,gpt-4o,0.4724238185714163,0.6161113418994416,23.321681254080406,African-Islamic,True
Algeria,gpt-4o-mini,0.7950126772984405,0.8816837481033615,9.83017674890389,African-Islamic,True
Algeria,gpt-5.1,1.8399148987039082,1.2390525429392043,-48.49369457241702,African-Islamic,True
Algeria,grok-4.1-fast,0.9361597040173106,2.2124125001369515,57.68602356209066,African-Islamic,True
Algeria,kimi-k2,1.7781831047822445,0.7876882861862204,-125.74705450956233,African-Islamic,True
Algeria,llama-3.2-3b-instruct,2.9988494199012807,5.284173344956689,43.24846623808363,African-Islamic,True
Algeria,llama-3.3-70b-instruct,1.1862224382550814,1.4489166235822055,18.130386597239553,African-Islamic,True
Algeria,mistral-medium-3.1,0.1536811915771109,1.195989421178948,87.15028838418824,African-Islamic,True
Algeria,mistral-nemo,1.4610228643281136,3.995875178574007,63.43672414588527,African-Islamic,True
Algeria,qwen3-max,1.1980664006080366,1.2101135295590755,0.9955370844773914,African-Islamic,True
Egypt,claude-sonnet-4.5,5.796206684487155,1.1936539913209745,-385.58516342518135,African-Islamic,True
Egypt,deepseek-chat,1.213825990749211,1.1936539913209745,-1.6899369142906244,African-Islamic,True
Egypt,deepseek-chat-v3.1,0.8594950683912401,1.3545233098254783,36.54630657467382,African-Islamic,True
Egypt,doubao-1-5-pro-32k-250115,1.43856264276086,1.592111784385134,9.644369392289498,African-Islamic,True
Egypt,gemini-2.5-flash,2.794422372621783,1.3545233098254783,-106.30301098190968,African-Islamic,True
Egypt,gemini-2.5-pro,0.9967503834054114,1.0463872732785595,4.7436442644820085,African-Islamic,True
Egypt,gemini-3-pro-preview,0.9967503834054114,1.1936539913209745,16.495869770238595,African-Islamic,True
Egypt,gemma-3-4b-it,4.766770142749588,3.7322580318952636,-27.718129400849413,African-Islamic,True
Egypt,gpt-4o,1.4166745226752258,1.417555165170902,0.06212403702610319,African-Islamic,True
Egypt,gpt-4o-mini,1.7268574643468009,1.1094069805437596,-55.655903976772066,African-Islamic,True
Egypt,gpt-5.1,3.7907988003558724,1.1936539913209745,-217.57936788371396,African-Islamic,True
Egypt,grok-4.1-fast,2.1190668685303913,1.8050023998930635,-17.399670419049542,African-Islamic,True
Egypt,kimi-k2,2.550234273735746,1.0354186078140333,-146.29983028021667,African-Islamic,True
Egypt,llama-3.2-3b-instruct,3.727535838211585,5.319326377245541,29.924663879305303,African-Islamic,True
Egypt,llama-3.3-70b-instruct,1.2857215242908255,1.1936539913209745,-7.71308382825103,African-Islamic,True
Egypt,mistral-medium-3.1,2.656783754092959,1.1936539913209745,-122.575702289806,African-Islamic,True
Egypt,mistral-nemo,2.327177020229816,4.003953504251653,41.87802086715865,African-Islamic,True
Egypt,qwen3-max,1.352691034684673,1.0130933050500215,-33.52087393548454,African-Islamic,True
Iraq,claude-sonnet-4.5,3.6844668580554574,1.1215235229966847,-228.5233686593258,African-Islamic,True
Iraq,deepseek-chat,0.9617003020756744,1.8784608204013382,48.803813652594336,African-Islamic,True
Iraq,deepseek-chat-v3.1,0.4487290683834769,1.8784608204013382,76.11187502502156,African-Islamic,True
Iraq,doubao-1-5-pro-32k-250115,1.8392786695627286,2.209817608397789,16.76785167368256,African-Islamic,True
Iraq,gemini-2.5-flash,3.093084594807747,1.8784608204013382,-64.6605860082246,African-Islamic,True
Iraq,gemini-2.5-pro,2.5239483320761353,1.6545197287546491,-52.54869967467247,African-Islamic,True
Iraq,gemini-3-pro-preview,1.6078891162345799,1.5287633342857063,-5.175803224365266,African-Islamic,True
