country,native_language,model,native_distance,en_distance,advantage,cultural_region,is_islamic
Libya,fr,gpt-4o,2.6743837478562,0.5969839392890645,77.67770089959565,African-Islamic,True
Libya,fr,mistral-nemo,3.094240289452557,3.8009433880421613,-22.839308924990963,African-Islamic,True
Libya,fr,qwen3-max,5.855846556312631,1.6292441182192159,72.17747933536813,African-Islamic,True
Libya,fr,doubao-1-5-pro-32k-250115,1.4466311430369512,1.7043908221668185,-17.817926868956075,African-Islamic,True
Libya,fr,mistral-medium-3.1,2.1381491231955074,1.7139850607799934,19.837908301811627,African-Islamic,True
Libya,fr,llama-3.2-3b-instruct,4.627572141228774,5.611777029404511,-21.268277579231807,African-Islamic,True
Libya,fr,claude-sonnet-4.5,1.2231542165125833,1.9524397732940542,-59.62335304380388,African-Islamic,True
Libya,fr,gemma-3-4b-it,2.879795745510198,3.4468598593484985,-19.691122702795596,African-Islamic,True
Libya,fr,deepseek-chat-v3.1,2.1381491231955074,0.8366232790124513,60.87161227734664,African-Islamic,True
Libya,fr,grok-4.1-fast,4.220609284215558,3.7942366587284093,10.102158166635283,African-Islamic,True
Libya,fr,gpt-5.1,0.30338742452379064,0.5969839392890645,-96.77280303431,African-Islamic,True
Libya,fr,gpt-4o-mini,1.340871831017785,2.1085199119158906,-57.24992226254948,African-Islamic,True
Libya,fr,kimi-k2,2.6743837478562,0.5969839392890645,77.67770089959565,African-Islamic,True
Libya,fr,gemini-2.5-flash,2.6743837478562,1.577952898299036,40.997513929557364,African-Islamic,True
Libya,fr,deepseek-chat,2.6743837478562,0.5969839392890645,77.67770089959565,African-Islamic,True
Libya,fr,llama-3.3-70b-instruct,2.619702395960458,1.577952898299036,39.76594819578682,African-Islamic,True
Libya,fr,gemini-3-pro-preview,1.4466311430369512,2.1805229798548114,-50.73109619893717,African-Islamic,True
Libya,fr,gemini-2.5-pro,5.025672058125695,4.381281051006405,12.821986784382682,African-Islamic,True
Libya,ar,claude-3-7-sonnet-20250219,0.5969839392890645,1.3132168908840909,-119.97524631030663,African-Islamic,True
Libya,ar,claude-sonnet-4.5,0.8366232790124513,1.9524397732940542,-133.37143757208273,African-Islamic,True
Libya,ar,deepseek-chat,2.928466840392295,0.5969839392890645,79.61445453112616,African-Islamic,True
Libya,ar,deepseek-chat-v3.1,2.1805229798548114,0.8366232790124513,61.63198981428955,African-Islamic,True
Libya,ar,doubao-1-5-pro-32k-250115,1.6954078361041813,1.7043908221668185,-0.5298421932081449,African-Islamic,True
Libya,ar,gemini-2.5-flash,2.1805229798548114,1.577952898299036,27.6342000117741,African-Islamic,True
Libya,ar,gemini-2.5-pro,3.173919726219303,4.381281051006405,-38.04007123473414,African-Islamic,True
Libya,ar,gemini-3-pro-preview,0.8366232790124513,2.1805229798548114,-160.63379235977,African-Islamic,True
Libya,ar,gemma-3-4b-it,0.5638700903706261,3.4468598593484985,-511.28616647903993,African-Islamic,True
Libya,ar,gpt-4o,0.37268636452616183,0.5969839392890645,-60.18400352480763,African-Islamic,True
Libya,ar,gpt-4o-mini,1.2236587604237565,2.1085199119158906,-72.31273784087519,African-Islamic,True
Libya,ar,gpt-5.1,0.5969839392890645,0.5969839392890645,0.0,African-Islamic,True
Libya,ar,grok-4.1-fast,2.928466840392295,3.7942366587284093,-29.56392766325933,African-Islamic,True
Libya,ar,kimi-k2,1.567640941370955,0.5969839392890645,61.91832430920171,African-Islamic,True
Libya,ar,llama-3.2-3b-instruct,6.742666462922014,5.611777029404511,16.77213962363814,African-Islamic,True
Libya,ar,llama-3.3-70b-instruct,2.1805229798548114,1.577952898299036,27.6342000117741,African-Islamic,True
Libya,ar,mistral-medium-3.1,2.928466840392295,1.7139850607799934,41.471590624178305,African-Islamic,True
